City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,265.44,93,100,2.57,CA,1701909699
1,albany,42.6001,-73.9662,271.3,87,66,0.45,US,1701909699
2,port-aux-francais,-49.35,70.2167,277.88,84,100,8.78,TF,1701909699
3,tripoli,32.8752,13.1875,290.31,50,14,3.48,LY,1701909699
4,bac lieu,9.285,105.7244,300.21,81,100,7.06,VN,1701909700
5,touros,-5.1989,-35.4608,299.71,77,72,6.4,BR,1701909700
6,waitangi,-43.9535,-176.5597,288.61,92,100,3.58,NZ,1701909700
7,lakatoro,-16.0999,167.4164,301.65,74,100,4.64,VU,1701909700
8,kissidougou,9.1848,-10.0999,293.48,57,0,0.93,GN,1701909700
9,bethel,41.3712,-73.414,274.78,69,100,3.09,US,1701909700
10,estero,26.4381,-81.8067,290.14,48,0,4.12,US,1701909701
11,mersa matruh,31.3525,27.2453,289.74,59,96,5.75,EG,1701909701
12,shahrak,34.1074,64.3052,274.27,27,100,1.7,AF,1701909701
13,bardai,11.65,7.2333,292.58,18,3,3.73,NG,1701909701
14,puerto baquerizo moreno,-0.9,-89.6,298.7,78,75,8.23,EC,1701909701
15,port macquarie,-31.4333,152.9167,300.87,67,26,3.5,AU,1701909602
16,nabire,-3.3667,135.4833,302.79,69,65,1.1,ID,1701909701
17,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.61,PT,1701909702
18,berezovyy,51.6667,135.7,263.56,87,100,0.45,RU,1701909702
19,flying fish cove,-10.4217,105.6791,298.97,88,100,3.6,CX,1701909702
20,inari,68.906,27.0288,251.26,100,39,1.7,FI,1701909702
21,adamstown,-25.066,-130.1015,296.13,79,97,5.45,PN,1701909702
22,kapuskasing,49.4169,-82.4331,266.2,86,100,4.63,CA,1701909702
23,ushuaia,-54.8,-68.3,279.96,76,20,9.77,AR,1701909703
24,mili,6.0815,171.735,301.08,82,11,9.41,MH,1701909703
25,korla,41.7597,86.1469,273.04,50,51,1.96,CN,1701909703
26,bimbo,4.2567,18.4158,297.11,88,100,1.03,CF,1701909703
27,grytviken,-54.2811,-36.5092,272.43,82,27,4.91,GS,1701909703
28,kavaratti,10.5669,72.642,300.82,72,100,2.17,IN,1701909704
29,geraldton,-28.7667,114.6,296.38,64,75,7.2,AU,1701909704
30,tiksi,71.6872,128.8694,246.43,97,100,3.72,RU,1701909704
31,sitka,57.0531,-135.33,278.09,81,75,5.14,US,1701909704
32,nenjiang,49.1833,125.2167,257.02,78,9,2.29,CN,1701909704
33,lihue,21.9789,-159.3672,299.92,70,40,3.6,US,1701909704
34,dudinka,69.4058,86.1778,247.97,98,99,3.58,RU,1701909705
35,port elizabeth,-33.918,25.5701,292.65,88,20,4.12,ZA,1701909705
36,nguigmi,14.2495,13.1092,294.05,25,9,5.35,NE,1701909705
37,bandon,51.7469,-8.7425,283.92,96,100,4.64,IE,1701909705
38,sabang,5.8933,95.3214,300.27,75,100,0.8,ID,1701909705
39,holualoa,19.6228,-155.9522,299.74,74,40,4.63,US,1701909705
40,karaton,-6.3424,106.1045,297.55,90,100,1.12,ID,1701909705
41,kununurra,-15.7667,128.7333,304.14,62,2,2.57,AU,1701909706
